Food,Color,January,February,March,April,May,June,July,August,September,October,November,December
Apples,red;green;yellow,WA;CA;ID;MT;WY;UT;CO;MN;SC;RI;ME,WA;CA;ID;MT;WY;CO;CO;MN;SC;RI;ME,WA;CA;ID;MT;WY;CO;SD;MN;RI;ME,WA;CA;ID;MT;WY;CO;RI;ME,WA;CA;ID;MT;WY;CO;RI;ME,WA;CA;ID;MT;WY;CO;RI;ME;TX;IL;MO;TN,WA;CA;ID;MT;RI;ME;TX;IL;MO;TN;OR;OK;NB;IA;IN;OH;KY;WV;VA;AL;MS;LA;DE;NJ;CT,WA;CA;ID;MT;RI;ME;TX;IL;MO;TN;OR;OK;NB;IA;IN;OH;KY;WV;VA;AL;MS;LA;DE;NJ;NV;MA;UT;AZ;NM;MI;NC;GA;CT;NH;VT;AK;CO;MD;AR,WA;CA;ID;MT;RI;ME;TX;IL;MO;TN;OR;OK;NB;IA;IN;OH;KY;WV;VA;AL;MS;LA;DE;NJ;MN;NV;MA;UT;AZ;NM;MI;NC;GA;CT;NH;VT;AK;CO;MD;AR;SC,WA;CA;ID;MT;RI;ME;TX;IL;MO;TN;OR;OK;NB;IA;IN;OH;KY;WV;VA;AL;MS;LA;DE;NJ;MN;NV;MA;UT;AZ;NM;MI;NC;GA;CT;NH;VT;AK;CO;MD;AR;SC,WA;CA;ID;MT;RI;ME;TX;IL;MO;TN;OR;OK;NB;IA;IN;OH;KY;WV;VA;AL;MS;LA;DE;NJ;MN;NV;MA;UT;AZ;NM;MI;NC;GA;CT;NH;VT;AK;CO;MD;AR;SC,WA;ID;MT;CA;NV;UT;CO;MN;GA;SC;NC;CT;RI;ME
Apricots,yellow;orange,NA,NA,NA,NA,CA;NM,CA;NM;WA,CA;NM;WA;MI;KY;OR;CO;VT;NH,WA;OR;CO;NM;KY;VT;NH;RI,RI,NA,NA,NA
Asian Pears,yellow,NA,NA,NA,NA,CA,CA,CA;FL,CA;OR;MI;AR;KY;FL;NH;VT,WA;CA;OR;MI;AR;KY;FL;NH;VT,WA;CA;OR;MI;AR;KY;FL;NH;VT,WA,NA
Asparagus,green;white,CA,CA;NM,CA;NM;MO;AR;MS,CA;NM;MO;AR;MS;MN;MI;PA;DE;IL,CA;NM;MN;MO;AR;MS;TN;IL;IN;OH;MI;PA;VA;MD;DE;NJ;RI,CA;NM;MN;MO;AR;MS;TN;IL;IN;OH;MI;PA;VA;MD;DE;NJ;RI;WA;KY;NY,CA;NM;MN;MO;AR;MS;TN;IL;IN;OH;MI;PA;VA;MD;DE;NJ;RI;OR;VT;NH;ME,CA,CA,CA,CA,NA
Avocados,green,CA;FL,CA;HI;FL,CA;HI;FL,CA;HI,CA,CA;FL,CA;FL,CA;FL,CA;HI;FL,CA;HI;FL,CA;HI;FL,CA;HI;FL
Beets,red;purple;yellow,CA;TX;MN;ME;DE,CA;TX;MN;ME,CA;MN;ME,CA;OK,CA;OK;MS;WA,WA;CA;MN;OK;MS;NJ;MA,WA;OR;CA;NM;CO;KS;LA;MS;TN;KY;MN;MI;PA;MD;NJ;CT;NJ;RI;VT;NH;ME,WA;OR;CA;NM;CO;KS;LA;MS;KY;MN;MI;PA;MD;NJ;CT;NJ;RI;VT;NH;ME,WA;OR;CA;NM;CO;KS;LA;MS;KY;MN;MI;PA;NJ;CT;NJ;RI;VT;NH;ME,WA;CA;NM;OK;KS;MN;KY;MS;PA;NJ;NY;VT;NH;ME;CT;RI,WA;CA;NM;TX;OK;MN;MS;PA;NY;RI;ME,CA;TX;OK;MN;PA;RI;ME
Blackberries,blue;purple,NA,NA,NA,TX,CA;TX;FL,WA;CA;TX;OK;MO;AR;MS;TN;FL;MI,CA;WA;OR;NM;OK;IA;MO;LA;MS;FL;TN;KY;IN;OH;MI;KY;MD;NJ;RI;AR,WA;OR;NM;LA;FL;MO;TN;KY;VA;NJ;VT;NH;ME;IA;OH;RI,WA;OR;NM;LA;FL;TN;VT;NH,WA;TN,WA,NA
Blueberries,blue,NA,NA,NA,FL;GA,FL;GA;TX;AL;MS;SC;CA,WA;CA;TX;OK;IA;MO;AL;MS;GA;SC;FL;OH;IN;MD;NJ;MD;VA;TN,WA;OR;CA;AZ;TX;OK;IA;MO;LA;MS;AL;GA;TN;IN;OH;NC;KYMD;NJ;CT;MA,WA;OR;AK;AZ;MI;MO;KY;VA;LA;TN;NY;VT;NH;ME;MA;DE;CT;IA;IN;AL;NJ,WA;OR;MO;LA;NY;AK,WA;NY;MO,WA,NA
Broccoli,green,CA;TX;FL;RI,CA;TX;FL,CA;TX;FL;MI,CA;MI;NC;FL,CA;OK;MO;AR;TN;NC;FL;NY;NJ,WA;CA;AK;MT;NE;KS;OK;IA;MO;IN;KY;PA;NJ;DE;NY;NH;VT;RI;CT;ME;TN;AR,WA;OR;CA;AK;MT;CO;UT;WY;ND;SD;NE;KS;MN;IA;MO;IN;OH;KY;PA;MD;NJ;NY;VT;NH;RI;CT;ME,WA;OR;CA;AK;UT;WY;CO;MT;ND;SD;MN;IA;KY;OH;MD;NY;VT;NH;NJ;MD;MA;ME,CA;OR;UT;CO;WY;MN;ND;SC;MN;IA;MO;LA;MI;IN;OH;KY;WV;VA;MD;PA;CT;RI;MD;VT;NH;ME;AK,CA;OR;NM;KS;OK;LA;AR;MO;IA;MN;MI;IN;OH;TN;NC;VA;WV;PA;NJ;NY;RI;UT;WY;CO;NH;VT;CT,CA;NM;TX;LA;AR;MO;IA;MN;IN;OH;WV;VA;NC;FL;PA;NY;RI;TN,CA;TX;MN;IA;PA;FL;NY;RI;MO;LA
Cabbage,green;white,CA;MN;TX;FL;NY;ME;RI,CA;MN;TX;FL;RI;ME;NY,CA;MN;TX;MI;FL;ME,CA;ND;SD;TX;MI;GA;SC;FL,CA;ND;SD;TX;MO;AR;IL;AL;GA;NC;SC;TN;FL,WA;CA;MT;ND;SD;NE;KS;NM;TX;IA;MO;IL;IA;OH;AL;TN;NC;SC;FL;NY;PA;NJ;MD;DE;CT;DE;MD;VT;NH;ME,WA;CA;OR;AK;MT;CO;UT;WY;NM;TX;ND;SC;NE;KS;MN;IA;MO;IL;IN;OH;KY;TN;AL;NC;WV;PA;MD;NJ;NY;MA;CT;RI;VT;NH;ME,WA;OR;CA;AK;UT;MT;WY;CO;NM;TX;ND;SD;MN;IA;MI;IN;OH;KY;TN;AL;NC;WV;PA;NJ;MD;DE;NY;CT;RI;MA;VT;NH;ME,WA;OR;CA;AK;MT;UT;WY;CO;TX;ND;SD;KS;MN;IA;MO;AR;LA;IL;IN;MI;OH;KY;TN;GA;NC;PA;NY;NJ;MA;RI;ME;CT;WV;AL,WA;OR;CA;AK;MT;UT;WY;CO;TX;ND;SD;KS;MN;IA;MO;AR;LA;IL;IN;MI;OH;KY;TN;GA;NC;PA;NY;NJ;MA;RI;ME;CT;WV;AL,CA;WA;OR;AK;TX;MT;ND;SD;MN;IA;IL;KY;AR;LA;TN;GA;FL;NC;PA;NY;RI;ME;MO;IN;OH;NJ,CA;ND;SD;MN;IA;TX;GA;FL;PA;NY;RI;ME;AK;LA;NC
Cantaloupe,green;orange,NA,NA,FL,FL,TX;SC;FL,TX;MO;AL;FL;SC;NC;NH;TN;MS,TX;OK;MO;AR;LA;KY;TN;AL;MS;FL;SC;NC;VA;MI;PA;DE;CT;NH;VT;MD,OR;WY;OK;MO;AR;LA;MS;AL;TN;KY;VA;SC;MI;PA;MD;DE;CT;MA;VT;NH;ME,OR;CO;OK;MO;AR;LA;AL;TN;KY;MI;PA;MD;DE;CT;VT;NH;ME,CO;TX;OK;MO;CT;RI,TX,NA
Carrots,orange,WA;CA;MT;AK;TX;MN;GA;FL;NY;ME;RI;HI,WA;CA;MT;AK;TX;MN;GA;FL;NY;ME;RI;HI,WA;CA;MT;AK;TX;MN;GA;FL;NY;ME;RI;HI,CA;AK;FX;GA;FL;RI;AK;NY,CA;TX;GA;TN;FL;ME,WA;CA;MT;NE;KS;TX;A;IL;TN;AL;GA;FL;RI;ME,WA;CA;OR;MT;CO;UT;WY;NM;TX;LA;MN;IA;KY;WV;PA;NY;RI;CT;ME;WI;AL;VT;NH;DE;KS;NE,WA;CA;OR;AK;MT;CO;UT;WY;NM;TX;LA;MN;IA;FL;KY;WV;PA;NY;RI;CT;ME;HI;KS;WI;AL;VT;NH;DE,WA;CA;OR;AK;MT;CO;UT;WY;NM;TX;LA;MN;IA;FL;KY;WV;PA;NY;RI;CT;ME;HI;KS;WI;AL;VT;NH;DE,WA;CA;OR;AK;MT;CO;UT;WY;NM;TX;LA;MN;IA;FL;KY;WV;PA;NY;RI;CT;ME;HI;KS;WI,WA;CA;OR;AK;MT;CO;UT;WY;NM;TX;LA;MN;IA;FL;KY;WV;PA;NY;RI;CT;ME,WA;CA;AK;MT;TX;MN;IA;GA;FL;PA;NY;RI;ME;LA
Cauliflower,green;white,CA;TX;FL;RI,CA;TX;FL,CA;TX;FL,WA;CA;TX;MN;FL,CA;WA;MN;OK;AL;TN;FL,WA;CA;KS;OK;AL;MN;PA;DE;CT;MA,WA;AK;ND;MN;AL;PA;NY;RI;CT,AK;WA;CO;ND;MN;IA;IL;NY;MA;DE;RI,CA;NM;CO;KS;ND;MN;IA;IL;IN;OH;LA;AL;PA;DE;NJ;CT;MA;ME;AK,CA;NM;WY;KS;OK;MN;LA;AL;IL;IN;OH;PA;DE;NY;CT;ME,CA;NM;TX;LA;AL;FL;IN;OH;MN;PA;NY;RI;DE,CA;TX;MN;FL;RI;NY;NJ;IN;OH;LA
Celery,green,CA;TX;FL;PA,CA;TX;FL;PA,CA;TX;FL,CA;TX;FL,CA;FL,CA;FL;PA,CA;OR;CA;MNKY;PA;NY;VT;NH;RI,CA;AK;WA;OR;CO;MN;KY;PA;NY;VT;NH;RI;MA,CA;WA;CO;MN;IA;NY;PA;MA;RI;AK,WA;CA;IA;PA;NY;RI;CO,CA;WA;IA;PA;RI;FL,CA;TX;IA;PA;FL
Cherries,red,NA,NA,NA,CA,CA;MO;IL,CA;WA;OR;NM;WY;MT;AR;IL;MI;TN;KY;WV;CT;NH;VT;UH;CO;MD;RI;NJ,CA;WA;OR;NM;WY;MT;AR;IL;MI;TN;KY;WV;CT;NH;VT;UH;CO;MD;RI,MT;WA,NA,NA,NA,NA
Chinese Cabbage,green;white,CA,CA,CA,CA;MN,CA;MN,CA;MN;RI,RI,RI,RI;CA,CA;RI;MN;TN,CA;RI;MN;TN,CA;MN
Corn,yellow,FL,FL,FL,FL,AL;GA;SC;FL,WA;OK;MO;AL;MS;GA;SC;TN;FL;MD;DE,WA;AZ;CO;KS;OK;ND;MN;WI;MO;AR;LA;IN;OH;TN;MS;GA;SC;FL;VA;PA;MD;DE;NJ;CT;NH;VT;ME,WA;OR;AZ;CO;ND;MN;MO;AR;LA;MI;IN;OH;TN;MS;GA;FL;PA;NJ;CT;NH;VT;ME;MD;DE;SC;WI;KY,WA;OR;AZ;CO;ND;MN;MO;AR;LA;MI;IN;OH;TN;MS;GA;FL;PA;NJ;CT;NH;VT;ME;MD;DE,WA;OR;FL;GA;PA;CO;MO,FL,FL
Cucumber,green;yellow,FL;HI,FL;HI,FL;HI,FL;TX;HI,CA;TX;OK;MO;AR;AL;GA;SC;FL,WA;CA;NV;AK;HI;NM;TX;OK;MO;AR;TV;AL;MS;GA;NC;SC;FL;IN;OH;VA;DE;NJ;CT;MA;ME,AK;WA;OR;CA;NV;AZ;CO;NM;TX;OK;KS;ND;MN;IA;MO;AR;LA;WI;MI;IN;OH;KY;TN;GA;NC;VA;MD;DE;PA;CT;MA;VT;NH;ME;HI,OR;CA;NV;AK;NM;CO;TX;OK;ND;MN;IA;MO;IL;KY;TN;MS;GA;SC;NC;VA;HI;DE;PA;NY;VT;H;ME;CT;RI;MI;WI;MD;DE;NJ;MA,OR;CA;NV;AK;NM;CO;TX;OK;ND;MN;IA;MO;IL;KY;TN;MS;GA;SC;NC;VA;HI;DE;PA;NY;VT;H;ME;CT;RI,CA;CO;NM;TX;OK;MO;IL;MS;GA;SC;NC;NY;DE;RI;HI,CA;NM;TX;MS;GA;SC;NC;FL;HI,CA;TX;FL;HI
Currants,purple;blue;red,NA,NA,NA,NA,NA,WA,WA;MN;RI;AK,WA;MN;RI;AK,MN;AK,NA,NA,NA
Eggplant,purple,FL,FL,FL,CA;FL,CA;FL;MS,WA;OR;CA;NM;ND;MN;MO;AR;LA;MS;LA;TN;NC;IL;IN;OH;PA;RI;MI,CA;WA;OR;NM;KS;ND;MN;MO;AR;LA;AL;MS;IL;IN;OH;KY;TN;NC;MI;PA;MD;NJ;DE;CT;RI;VT;NH;ME,WA;OR;CA;NM;OR;KS;ND;MN;IA;MO;AR;LA;AL;TN;KY;IN;OH;IL;MI;PA;NY;NJ;MD;DE;VT;NH;MA;RI;ME,CA;OR;NM;CO;KS;ND;MN;IA;MO;AR;LA;MS;AL;FL;IL;IN;KY;TN;MI;OH;PA;DE;NJ;NY;VT;NH;MA;ME,CA;NM;CO;KS;MO;IL;IN;OH;AL;FL;PA;DE;NY;NJ;CT,CA;NM;FL,FL
Fennel,green;white;yellow,CA,CA,CA,CA,CA,CA;RI,CA;MN;RI,CA;NM;MN;RI,CA;NM;MN;RI,CA;NM;MN;RI,CA;MN;NM;RI,CA;MN
Grapefruit,red;orange;yellow,CA;TX;FL,CA;TX;FL,CA;TX;FL,CA;TX;FL,CA;TX;FL,CA;TX;FL,CA;FL,CA,CA;LA,CA;TX;FL;LA,CA;TX;FL;LA,CA;TX;FL;LA
Grapes,"green,purple,red",NA,NA,NA,NA,CA;TX;FL,CA;AL;GA,CA;NM;IA;MO;IL;LA;TN;GA,CA;NM;IA;MO;LA;AL;GA;FL;TN;NC;MD;NJ;NY,CA;WA;WY;LA;AL;FL;GA;NC;VA;IN;OH;IL;MO;IA;NY;VT;NH;ME;NJ;RI;MD,WA;CA;NM;MO;IL;GA;VA;NY;NH;VT;ME;RI,CA;WA;NM,CA
Kale,red;green,CA;MN;RI,CA;MN;RI,CA;MN;RI,CA;MN;RI,CA;TN;RI;MN,CA;LA;TN;RI;MN,"CA;KS,IA;MN;LA;TN;VT;NH;MA",ND;LA;VT;NH;MA,"CA;KS,IA;MN;LA;TN;VT;NH;MA","CA;KS,IA;MN;LA;TN;VT;NH;MA",CA;MN;IA;TN;LA;VT;NH;MA,CA;IA;MN;LA;RI
Lettuce,purple;green;white,CA;NM;IA;PA;HI,CA;NM;HI;IA;PA,CA;HI;NM;OK;IA;PA,CA;HI;NM;OK;IA;PA,CA;NM;OK;KS;NE;MN;IA;MO;IL;PA;RI;ME,CA;HI;AK;WY;CO;NM;OK;ND;SD;LA;MN;IA;PA;NJ;NY;MD;CT;RI;ME;TN,CA;HI;AK;WY;CO;NM;OK;ND;SD;LA;MN;IA;PA;NJ;NY;MD;CT;RI;ME,AK;HI;CA;UT;CO;WY;NM;LA;ND;SD;MN;IL;PA;NJ;NY;MA;CT;RI;ME,CA;AK;HI;NM;UT;WY;CO;ND;SD;MN;IA;IL;PA;NJ;NY;MA;CT;RI;ME,CA;UT;WY;CO;NM;OK;LA;HI;MN;IA;IL;PA;NJ;NY;MA;CT;RI;ME,CA;HI;NM;MN;IA;PA;ME,CA;HI;NM;MN;IA;PA;ME
Lima Beans,green,NA,NA,NA,NA,AL,MS;AL,AL;MS;IN;OH;PA;NJ;KS;MO;TN,AL;MS;IN;OH;PA;NJ;KS;MO;TN,AL;MS;IN;OH;PA;NJ;KS;MO;TN,AL;MS;IN;OH;PA;NJ;KS;MO;TN,NA,NA
Mushrooms,brown;white,CA;WA;MN;TN;FL;RI;DE;CT,CA;WA;MN;TN;FL;RI;DE;CT,CA;WA;MN;TN;FL;RI;DE;CT,CA;WA;MN;TN;FL;RI;DE;CT,CA;WA;MN;TN;FL;RI;DE;CT,CA;WA;MN;TN;FL;RI;DE;CT,CA;TX;TN;FL;MN;TN;DE;RI;CT,CA;TX;TN;FL;MN;TN;DE;RI;CT,WA;CA;TX;TN;FL;MN;TN;DE;RI;CT;ND,WA;CA;TX;TN;FL;MN;TN;DE;RI;CT,CA;WA;MN;TN;FL;RI;DE;CT,WA;CA;TX;TN;FL;MN;TN;DE;RI;CT
Nectarines,orange;red,NA,NA,NA,CA,CA;TX;AL,WA;CA;NM;TX;AL;AR;MO;IL,CA;OR;WA;NM;LA;AL;AR;MO;IL;IN;OH;MI;KY;VA;MD;NJ;CT;RI;VT;NH,CA;OR;WA;NM;LA;AL;AR;MO;IL;IN;OH;MI;KY;VA;MD;NJ;CT;RI;VT;NH,CA;OR;NM;MO;IL;LA;CT;RI,CA;RI,NA,NA
Okra,green;white,CA;FL,CA;FL,CA;FL,CA;FL,CA;AL;FL,CA;NM;OK;MO;IL;LA;AL;MS;FL;NC,CA;AZ;NM;OK;LA;MN;MO;IL;IN;OH;TN;AL;MS;FL;NJ;RI;NC,CA;AZ;NM;OK;LA;MN;MO;IL;IN;OH;TN;AL;MS;FL;NJ;RI,CA;AZ;NM;OK;LA;MN;MO;IL;IN;OH;TN;AL;MS;FL;NJ;RI,CA;NM;MO;MN;IL;LA;FL;NJ;MS;IN;OH;TN,CA;FL;MN;LA,CA;FL;MN;LA
